nom,ville
Divers Objets de culte dans les synagogues de l'impasse Boutin N?2 et la rue M?d?e Objets de Culte/ Med (Oued Koriche Casbah) ,Alger
"Rouleaux de la loi et divers objets de culte en argent appartenant ? synagogue de la place Randon au 2eme et 3eme ?tages de l'immeuble du consistoire, 1 rue Volland Objets de Culte/ Med (Oued Koriche Casbah) ",Alger
Parchemins dits s?raphines et garnitures de la synagogue de la rue Scipion Manus.Et Objets de Culte/Med (Oued Koriche Casbah) ,Alger
Jardin Marengo Site Naturel (Oued Koriche Casbah) ,Alger
For?t domaniale dit Bois de Boulogne Site Naturel (Birmandreis) ,Alger
Belvedre du chemin des cr?tes Site Naturel (Birmandreis) ,Alger
Bois entourant le Fort l'empreur Site Naturel (El Biar) ,Alger
Citadelle du Fort l'empreur Fortif./Mod (El Biar) ,Alger
"Partie nord de la falaise saint Rapha?l comprenant les parcelles ou parties des parcelles n? 12225,1296,1300,1309,1313,1315 ? (El Biar) Site Naturel (El Biar) ",Alger
Villa ? second weber ? et le bois de pins qui l'entoure sur l'?peron de la falaise saint Rapha?l. Demeure et SN/Mod (El Biar) ,Alger
Bordj Polignac Fortif. Et SN/Mod (Bouzar?ah) ,Alger
Abords du Bordj Polignac Site Naturel (Bouzar?ah) ,Alger
Mosqu?e et marabouts dits de Sidi Madjouba Mon.Fun.et de Culte/Islam (Bouzar?ah) ,Alger
Cimeti?re de sidi Madjouba Mon.Fun./ Islam (Bouzar?ah) ,Alger
Tombeaux m?galithiques sur le plateau de Beni Messous Mon.Fun./Pr?-.Hist. (Beni messous) ,Alger
Villa Hussein-Dey Demeure./Mod (Hussein-Dey) ,Alger
Abords de la Villa Louvet Site Naturel (Hussein-Dey) ,Alger
Villa des Arcades Demeure./Mod (El ? Madania) ,Alger
Abords de la Villa des Arcades Site Naturel (El Madania) ,Alger
Fontaines arabe et marabout ou Hamma lieu dit ? les Platanes au jardin d'Essai Ouv.Hyd.Mon.Fun/Mod (Sidi-M'hamed) ,Alger
La Casbah d'Alger,Alger
Timgad,Batna
Le site de Tipasa,Tipaza
La vall?e du M'Zab ,Ghardaia
Le Parc National du Tassili,Illizi
Grande Mosqu?e Mon.de Culte/Islam.,Mostaganem
Fort Et ?Tork (fort de l'Est) Fortif./Med,Mostaganem
Dolmens de Salluste situ?s aupr?s de l'emplacement des anciens,Constantine
jardins de Constantine. Mon.Fun./Pr?-.Hist (Constantine),Constantine
Aqueduc romain Ouvr.Hidr./Ant. (Constantine),Constantine
Pont romain Ouvrage/Ant. (Constantine) ,Constantine
Tombeau de Praecillius Mon.Fun./Ant. (Constantine) ,Constantine
Mosqu?e de Souk El Ghezel (ex Cath?drale) Mon.de Culte/Med.,Constantine
Mosqu?e de Sidi Lakhdar Mon.de Culte/Islam. (Constantine) ,Constantine
Partie de l'ancienne m?dersa qui renferme :les tombeaux de Salah Bey et de sa famille Mon.Fun./Mod (Constantine) ,Constantine
Palais Ahmed Bey Demeure/Mod. (Constantine),Constantine
Fragments antiques et inscription dans le square Vestiges&Epigraphe/Ant. (Constantine),Constantine
Inscription des Martyrs Saint Jacques et Saint Marien Epigraphe/Ant. (Constantine) ,Constantine
Mosa?que de Penth?sil?e d?couverte aux Ouled Agla et d?pos?e ? la pr?fecture de Constantine ?uvre d'Art/Ant. (Constantine) ,Constantine
Objets antiques d?pos?s au mus?e de Constantine appartement ? l'Etat Collection/Ant. (Constantine) ,Constantine
Gorges du Rhummel Site Naturel (Constantine) ,Constantine
Dolmens et Cromlechs 35km du sud de Constantine Ras El Ain Bou Merzoug Ouled Rahmoune Mon.Fun./Pr?-.Hist. (Ouled Rahmoune),Constantine
Site de Tiddis Site /Ant. (Hamma-Bouziane),Constantine
Veille ville de Constantine Centre Hist.Vivant (Constantine ville) ,Constantine
Prison d'El Koudia Mon.P?nitencier/Mod (Constantine Ville) ,Constantine
Dolmens et cromlechs au lieu dit djebel Ksaibi ? 32 Kms de Constantine Ouled Rahmoune Mon.Fun./Pr?-.Hist. (Ouled Rahmoune) ,Constantine
Mausol?e Gr?co-Punique appel? Souma? Mon.fun./Ant. (El ?Khroub) ,Constantine
Villa Abdelatif Demeure/Mod (Sidi-M'hamed) ,Alger
Dolmens et cromlechs au lieu dit Djebel Mazalaa ? 16 Kms d'El Khroub Mon.Fun./Pr?-.Hist. (Ouled Rahmoune) ,Constantine
Villa Mahieddine Demeure/Mod (Sidi-M'hamed) ,Alger
Place publique Site Naturel (Bouzar?ah) ,Alger
